ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	2	time	1474
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	2	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	3	time	1447
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	3	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	4	time	1363
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	4	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	5	time	1413
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	5	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	6	time	1594
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	6	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	7	time	1257
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	7	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	8	time	1209
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	8	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	9	time	1398
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	9	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	10	time	1693
fixed	2	EMFIncQuery-Incremental	1	PosLength	recheck	10	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	1	time	1632373
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	1	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	2	time	550509
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	2	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	3	time	501245
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	3	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	4	time	555396
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	4	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	5	time	140156
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	5	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	6	time	2271
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	6	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	7	time	1870
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	7	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	8	time	1699
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	8	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	9	time	1751
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	9	memory	42559480
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	10	time	1678
fixed	2	EMFIncQuery-Incremental	1	PosLength	repair	10	memory	42559480
fixed	3	EMFIncQuery-Incremental	1	PosLength	check	0	rss	43
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	1	rss	33
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	2	rss	23
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	3	rss	13
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	4	rss	3
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	5	rss	0
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	6	rss	0
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	7	rss	0
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	8	rss	0
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	9	rss	0
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	10	rss	0
fixed	3	EMFIncQuery-Incremental	1	PosLength	read	0	time	84729980
fixed	3	EMFIncQuery-Incremental	1	PosLength	read	0	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	check	0	time	2572
fixed	3	EMFIncQuery-Incremental	1	PosLength	check	0	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	1	time	1137
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	1	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	2	time	1092
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	2	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	3	time	1070
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	3	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	4	time	1161
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	4	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	5	time	1107
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	5	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	6	time	986
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	6	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	7	time	999
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	7	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	8	time	998
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	8	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	9	time	987
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	9	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	10	time	1167
fixed	3	EMFIncQuery-Incremental	1	PosLength	recheck	10	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	1	time	524367
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	1	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	2	time	482873
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	2	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	3	time	456481
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	3	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	4	time	499678
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	4	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	5	time	181338
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	5	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	6	time	1702
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	6	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	7	time	1685
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	7	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	8	time	1703
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	8	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	9	time	1555
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	9	memory	46523104
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	10	time	1663
fixed	3	EMFIncQuery-Incremental	1	PosLength	repair	10	memory	46523104
fixed	4	EMFIncQuery-Incremental	1	PosLength	check	0	rss	43
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	1	rss	33
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	2	rss	23
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	3	rss	13
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	4	rss	3
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	5	rss	0
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	6	rss	0
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	7	rss	0
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	8	rss	0
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	9	rss	0
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	10	rss	0
fixed	4	EMFIncQuery-Incremental	1	PosLength	read	0	time	70925868
fixed	4	EMFIncQuery-Incremental	1	PosLength	read	0	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	check	0	time	6878
fixed	4	EMFIncQuery-Incremental	1	PosLength	check	0	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	1	time	1154
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	1	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	2	time	1230
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	2	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	3	time	1103
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	3	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	4	time	1146
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	4	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	5	time	1332
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	5	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	6	time	938
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	6	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	7	time	1026
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	7	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	8	time	950
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	8	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	9	time	975
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	9	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	10	time	1153
fixed	4	EMFIncQuery-Incremental	1	PosLength	recheck	10	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	1	time	535618
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	1	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	2	time	452487
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	2	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	3	time	437837
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	3	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	4	time	441949
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	4	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	5	time	159754
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	5	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	6	time	1362
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	6	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	7	time	1275
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	7	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	8	time	1293
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	8	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	9	time	1293
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	9	memory	49165536
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	10	time	1399
fixed	4	EMFIncQuery-Incremental	1	PosLength	repair	10	memory	49165536
fixed	5	EMFIncQuery-Incremental	1	PosLength	check	0	rss	43
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	1	rss	33
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	2	rss	23
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	3	rss	13
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	4	rss	3
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	5	rss	0
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	6	rss	0
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	7	rss	0
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	8	rss	0
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	9	rss	0
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	10	rss	0
fixed	5	EMFIncQuery-Incremental	1	PosLength	read	0	time	66009597
fixed	5	EMFIncQuery-Incremental	1	PosLength	read	0	memory	51807936
fixed	5	EMFIncQuery-Incremental	1	PosLength	check	0	time	5729
fixed	5	EMFIncQuery-Incremental	1	PosLength	check	0	memory	51807936
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	1	time	1267
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	1	memory	51807936
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	2	time	1176
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	2	memory	51807936
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	3	time	1119
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	3	memory	53129136
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	4	time	1215
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	4	memory	53129136
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	5	time	1107
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	5	memory	53129136
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	6	time	911
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	6	memory	53129136
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	7	time	932
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	7	memory	53129136
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	8	time	905
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	8	memory	53129136
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	9	time	911
fixed	5	EMFIncQuery-Incremental	1	PosLength	recheck	9	memory	53129136
