ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	2	FunnyQT	1	PosLength	recheck	9	memory	22201368
fixed	2	FunnyQT	1	PosLength	recheck	10	time	3334783
fixed	2	FunnyQT	1	PosLength	recheck	10	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	1	time	73387
fixed	2	FunnyQT	1	PosLength	repair	1	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	2	time	52106
fixed	2	FunnyQT	1	PosLength	repair	2	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	3	time	58812
fixed	2	FunnyQT	1	PosLength	repair	3	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	4	time	85017
fixed	2	FunnyQT	1	PosLength	repair	4	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	5	time	18394
fixed	2	FunnyQT	1	PosLength	repair	5	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	6	time	821
fixed	2	FunnyQT	1	PosLength	repair	6	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	7	time	794
fixed	2	FunnyQT	1	PosLength	repair	7	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	8	time	794
fixed	2	FunnyQT	1	PosLength	repair	8	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	9	time	794
fixed	2	FunnyQT	1	PosLength	repair	9	memory	22201368
fixed	2	FunnyQT	1	PosLength	repair	10	time	797
fixed	2	FunnyQT	1	PosLength	repair	10	memory	22201368
fixed	3	FunnyQT	1	PosLength	check	0	rss	43
fixed	3	FunnyQT	1	PosLength	recheck	1	rss	33
fixed	3	FunnyQT	1	PosLength	recheck	2	rss	23
fixed	3	FunnyQT	1	PosLength	recheck	3	rss	13
fixed	3	FunnyQT	1	PosLength	recheck	4	rss	3
fixed	3	FunnyQT	1	PosLength	recheck	5	rss	0
fixed	3	FunnyQT	1	PosLength	recheck	6	rss	0
fixed	3	FunnyQT	1	PosLength	recheck	7	rss	0
fixed	3	FunnyQT	1	PosLength	recheck	8	rss	0
fixed	3	FunnyQT	1	PosLength	recheck	9	rss	0
fixed	3	FunnyQT	1	PosLength	recheck	10	rss	0
fixed	3	FunnyQT	1	PosLength	read	0	time	60868611
fixed	3	FunnyQT	1	PosLength	read	0	memory	20399608
fixed	3	FunnyQT	1	PosLength	check	0	time	3868927
fixed	3	FunnyQT	1	PosLength	check	0	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	1	time	3400710
fixed	3	FunnyQT	1	PosLength	recheck	1	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	2	time	3281348
fixed	3	FunnyQT	1	PosLength	recheck	2	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	3	time	3177131
fixed	3	FunnyQT	1	PosLength	recheck	3	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	4	time	3149299
fixed	3	FunnyQT	1	PosLength	recheck	4	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	5	time	3180698
fixed	3	FunnyQT	1	PosLength	recheck	5	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	6	time	3187750
fixed	3	FunnyQT	1	PosLength	recheck	6	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	7	time	3201917
fixed	3	FunnyQT	1	PosLength	recheck	7	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	8	time	3155062
fixed	3	FunnyQT	1	PosLength	recheck	8	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	9	time	4687431
fixed	3	FunnyQT	1	PosLength	recheck	9	memory	20399608
fixed	3	FunnyQT	1	PosLength	recheck	10	time	4856620
fixed	3	FunnyQT	1	PosLength	recheck	10	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	1	time	63037
fixed	3	FunnyQT	1	PosLength	repair	1	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	2	time	56778
fixed	3	FunnyQT	1	PosLength	repair	2	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	3	time	52397
fixed	3	FunnyQT	1	PosLength	repair	3	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	4	time	48156
fixed	3	FunnyQT	1	PosLength	repair	4	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	5	time	53889
fixed	3	FunnyQT	1	PosLength	repair	5	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	6	time	971
fixed	3	FunnyQT	1	PosLength	repair	6	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	7	time	932
fixed	3	FunnyQT	1	PosLength	repair	7	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	8	time	800
fixed	3	FunnyQT	1	PosLength	repair	8	memory	20399608
fixed	3	FunnyQT	1	PosLength	repair	9	time	760
