ChangeSet	RunIndex	Tool	Size	Query	PhaseName	Iteration	MetricName	MetricValue
fixed	4	Sigma	1	PosLength	recheck	3	rss	13
fixed	4	Sigma	1	PosLength	recheck	4	rss	3
fixed	4	Sigma	1	PosLength	recheck	5	rss	0
fixed	4	Sigma	1	PosLength	read	0	time	54267127
fixed	4	Sigma	1	PosLength	read	0	memory	5817720
fixed	4	Sigma	1	PosLength	check	0	time	2781341
fixed	4	Sigma	1	PosLength	check	0	memory	5817720
fixed	4	Sigma	1	PosLength	recheck	1	time	1110992
fixed	4	Sigma	1	PosLength	recheck	1	memory	5817720
fixed	4	Sigma	1	PosLength	recheck	2	time	1077127
fixed	4	Sigma	1	PosLength	recheck	2	memory	5817720
fixed	4	Sigma	1	PosLength	recheck	3	time	1695264
fixed	4	Sigma	1	PosLength	recheck	3	memory	5817720
fixed	4	Sigma	1	PosLength	recheck	4	time	1065789
fixed	4	Sigma	1	PosLength	recheck	4	memory	7138944
fixed	4	Sigma	1	PosLength	recheck	5	time	1024502
fixed	4	Sigma	1	PosLength	recheck	5	memory	7138944
fixed	4	Sigma	1	PosLength	repair	1	time	121598
fixed	4	Sigma	1	PosLength	repair	1	memory	5817720
fixed	4	Sigma	1	PosLength	repair	2	time	69600
fixed	4	Sigma	1	PosLength	repair	2	memory	5817720
fixed	4	Sigma	1	PosLength	repair	3	time	65669
fixed	4	Sigma	1	PosLength	repair	3	memory	5817720
fixed	4	Sigma	1	PosLength	repair	4	time	67419
fixed	4	Sigma	1	PosLength	repair	4	memory	5817720
fixed	4	Sigma	1	PosLength	repair	5	time	31894
fixed	4	Sigma	1	PosLength	repair	5	memory	7138944
fixed	5	Sigma	1	PosLength	check	0	rss	43
fixed	5	Sigma	1	PosLength	recheck	1	rss	33
fixed	5	Sigma	1	PosLength	recheck	2	rss	23
fixed	5	Sigma	1	PosLength	recheck	3	rss	13
fixed	5	Sigma	1	PosLength	recheck	4	rss	3
fixed	5	Sigma	1	PosLength	recheck	5	rss	0
fixed	5	Sigma	1	PosLength	read	0	time	48177037
fixed	5	Sigma	1	PosLength	read	0	memory	5818080
fixed	5	Sigma	1	PosLength	check	0	time	1296553
fixed	5	Sigma	1	PosLength	check	0	memory	5818080
fixed	5	Sigma	1	PosLength	recheck	1	time	1091744
fixed	5	Sigma	1	PosLength	recheck	1	memory	5818080
fixed	5	Sigma	1	PosLength	recheck	2	time	991624
fixed	5	Sigma	1	PosLength	recheck	2	memory	5818080
fixed	5	Sigma	1	PosLength	recheck	3	time	973068
fixed	5	Sigma	1	PosLength	recheck	3	memory	5818080
fixed	5	Sigma	1	PosLength	recheck	4	time	994493
fixed	5	Sigma	1	PosLength	recheck	4	memory	5818080
fixed	5	Sigma	1	PosLength	recheck	5	time	981684
fixed	5	Sigma	1	PosLength	recheck	5	memory	7139304
fixed	5	Sigma	1	PosLength	repair	1	time	178933
fixed	5	Sigma	1	PosLength	repair	1	memory	5818080
fixed	5	Sigma	1	PosLength	repair	2	time	67840
fixed	5	Sigma	1	PosLength	repair	2	memory	5818080
fixed	5	Sigma	1	PosLength	repair	3	time	72731
fixed	5	Sigma	1	PosLength	repair	3	memory	5818080
fixed	5	Sigma	1	PosLength	repair	4	time	67188
fixed	5	Sigma	1	PosLength	repair	4	memory	5818080
fixed	5	Sigma	1	PosLength	repair	5	time	72229
fixed	5	Sigma	1	PosLength	repair	5	memory	5818080
fixed	1	Sigma	2	PosLength	check	0	rss	116
fixed	1	Sigma	2	PosLength	recheck	1	rss	106
fixed	1	Sigma	2	PosLength	recheck	2	rss	96
fixed	1	Sigma	2	PosLength	recheck	3	rss	86
fixed	1	Sigma	2	PosLength	recheck	4	rss	76
fixed	1	Sigma	2	PosLength	recheck	5	rss	66
fixed	1	Sigma	2	PosLength	read	0	time	687397448
fixed	1	Sigma	2	PosLength	read	0	memory	27427056
fixed	1	Sigma	2	PosLength	check	0	time	41515320
fixed	1	Sigma	2	PosLength	check	0	memory	28748256
fixed	1	Sigma	2	PosLength	recheck	1	time	5027498
fixed	1	Sigma	2	PosLength	recheck	1	memory	31390792
fixed	1	Sigma	2	PosLength	recheck	2	time	3974595
fixed	1	Sigma	2	PosLength	recheck	2	memory	31390792
fixed	1	Sigma	2	PosLength	recheck	3	time	4007741
fixed	1	Sigma	2	PosLength	recheck	3	memory	31390792
fixed	1	Sigma	2	PosLength	recheck	4	time	4747486
fixed	1	Sigma	2	PosLength	recheck	4	memory	31390792
fixed	1	Sigma	2	PosLength	recheck	5	time	3490506
fixed	1	Sigma	2	PosLength	recheck	5	memory	32711992
fixed	1	Sigma	2	PosLength	repair	1	time	2366229
fixed	1	Sigma	2	PosLength	repair	1	memory	30069560
fixed	1	Sigma	2	PosLength	repair	2	time	113432
fixed	1	Sigma	2	PosLength	repair	2	memory	31390792
fixed	1	Sigma	2	PosLength	repair	3	time	106993
fixed	1	Sigma	2	PosLength	repair	3	memory	31390792
fixed	1	Sigma	2	PosLength	repair	4	time	86448
fixed	1	Sigma	2	PosLength	repair	4	memory	31390792
fixed	1	Sigma	2	PosLength	repair	5	time	123248
fixed	1	Sigma	2	PosLength	repair	5	memory	31390792
fixed	2	Sigma	2	PosLength	check	0	rss	116
fixed	2	Sigma	2	PosLength	recheck	1	rss	106
fixed	2	Sigma	2	PosLength	recheck	2	rss	96
fixed	2	Sigma	2	PosLength	recheck	3	rss	86
fixed	2	Sigma	2	PosLength	recheck	4	rss	76
fixed	2	Sigma	2	PosLength	recheck	5	rss	66
fixed	2	Sigma	2	PosLength	read	0	time	120836553
fixed	2	Sigma	2	PosLength	read	0	memory	11517624
fixed	2	Sigma	2	PosLength	check	0	time	2376460
fixed	2	Sigma	2	PosLength	check	0	memory	11517624
fixed	2	Sigma	2	PosLength	recheck	1	time	2117179
fixed	2	Sigma	2	PosLength	recheck	1	memory	11517624
fixed	2	Sigma	2	PosLength	recheck	2	time	1992617
fixed	2	Sigma	2	PosLength	recheck	2	memory	11517624
fixed	2	Sigma	2	PosLength	recheck	3	time	1933732
fixed	2	Sigma	2	PosLength	recheck	3	memory	12838848
fixed	2	Sigma	2	PosLength	recheck	4	time	2012655
fixed	2	Sigma	2	PosLength	recheck	4	memory	12838848
fixed	2	Sigma	2	PosLength	recheck	5	time	1946724
fixed	2	Sigma	2	PosLength	recheck	5	memory	12838848
fixed	2	Sigma	2	PosLength	repair	1	time	136899
fixed	2	Sigma	2	PosLength	repair	1	memory	11517624
fixed	2	Sigma	2	PosLength	repair	2	time	188827
fixed	2	Sigma	2	PosLength	repair	2	memory	11517624
fixed	2	Sigma	2	PosLength	repair	3	time	87606
fixed	2	Sigma	2	PosLength	repair	3	memory	11517624
fixed	2	Sigma	2	PosLength	repair	4	time	70082
fixed	2	Sigma	2	PosLength	repair	4	memory	12838848
fixed	2	Sigma	2	PosLength	repair	5	time	68331
fixed	2	Sigma	2	PosLength	repair	5	memory	12838848
fixed	3	Sigma	2	PosLength	check	0	rss	116
fixed	3	Sigma	2	PosLength	recheck	1	rss	106
fixed	3	Sigma	2	PosLength	recheck	2	rss	96
fixed	3	Sigma	2	PosLength	recheck	3	rss	86
fixed	3	Sigma	2	PosLength	recheck	4	rss	76
fixed	3	Sigma	2	PosLength	recheck	5	rss	66
fixed	3	Sigma	2	PosLength	read	0	time	96116865
fixed	3	Sigma	2	PosLength	read	0	memory	9893064
fixed	3	Sigma	2	PosLength	check	0	time	2169865
fixed	3	Sigma	2	PosLength	check	0	memory	9893064
fixed	3	Sigma	2	PosLength	recheck	1	time	1955898
fixed	3	Sigma	2	PosLength	recheck	1	memory	9893064
fixed	3	Sigma	2	PosLength	recheck	2	time	1946981
fixed	3	Sigma	2	PosLength	recheck	2	memory	9893064
fixed	3	Sigma	2	PosLength	recheck	3	time	1941907
fixed	3	Sigma	2	PosLength	recheck	3	memory	9893064
fixed	3	Sigma	2	PosLength	recheck	4	time	1935621
fixed	3	Sigma	2	PosLength	recheck	4	memory	9893064
fixed	3	Sigma	2	PosLength	recheck	5	time	1982644
fixed	3	Sigma	2	PosLength	recheck	5	memory	11214336
fixed	3	Sigma	2	PosLength	repair	1	time	146947
fixed	3	Sigma	2	PosLength	repair	1	memory	9893064
fixed	3	Sigma	2	PosLength	repair	2	time	70457
fixed	3	Sigma	2	PosLength	repair	2	memory	9893064
fixed	3	Sigma	2	PosLength	repair	3	time	120255
fixed	3	Sigma	2	PosLength	repair	3	memory	9893064
fixed	3	Sigma	2	PosLength	repair	4	time	68917
fixed	3	Sigma	2	PosLength	repair	4	memory	9893064
fixed	3	Sigma	2	PosLength	repair	5	time	73083
fixed	3	Sigma	2	PosLength	repair	5	memory	9893064
fixed	4	Sigma	2	PosLength	check	0	rss	116
fixed	4	Sigma	2	PosLength	recheck	1	rss	106
fixed	4	Sigma	2	PosLength	recheck	2	rss	96
fixed	4	Sigma	2	PosLength	recheck	3	rss	86
fixed	4	Sigma	2	PosLength	recheck	4	rss	76
fixed	4	Sigma	2	PosLength	recheck	5	rss	66
fixed	4	Sigma	2	PosLength	read	0	time	86705313
fixed	4	Sigma	2	PosLength	read	0	memory	8589480
fixed	4	Sigma	2	PosLength	check	0	time	2032631
fixed	4	Sigma	2	PosLength	check	0	memory	8589480
fixed	4	Sigma	2	PosLength	recheck	1	time	1954240
fixed	4	Sigma	2	PosLength	recheck	1	memory	8589480
fixed	4	Sigma	2	PosLength	recheck	2	time	1934613
fixed	4	Sigma	2	PosLength	recheck	2	memory	8589480
fixed	4	Sigma	2	PosLength	recheck	3	time	1930881
fixed	4	Sigma	2	PosLength	recheck	3	memory	8589480
fixed	4	Sigma	2	PosLength	recheck	4	time	1907573
fixed	4	Sigma	2	PosLength	recheck	4	memory	8589480
fixed	4	Sigma	2	PosLength	recheck	5	time	1924743
fixed	4	Sigma	2	PosLength	recheck	5	memory	9910704
fixed	4	Sigma	2	PosLength	repair	1	time	111796
fixed	4	Sigma	2	PosLength	repair	1	memory	8589480
fixed	4	Sigma	2	PosLength	repair	2	time	61822
fixed	4	Sigma	2	PosLength	repair	2	memory	8589480
fixed	4	Sigma	2	PosLength	repair	3	time	62339
fixed	4	Sigma	2	PosLength	repair	3	memory	8589480
fixed	4	Sigma	2	PosLength	repair	4	time	85843
fixed	4	Sigma	2	PosLength	repair	4	memory	8589480
fixed	4	Sigma	2	PosLength	repair	5	time	118589
fixed	4	Sigma	2	PosLength	repair	5	memory	8589480
fixed	5	Sigma	2	PosLength	check	0	rss	116
fixed	5	Sigma	2	PosLength	recheck	1	rss	106
fixed	5	Sigma	2	PosLength	recheck	2	rss	96
fixed	5	Sigma	2	PosLength	recheck	3	rss	86
fixed	5	Sigma	2	PosLength	recheck	4	rss	76
fixed	5	Sigma	2	PosLength	recheck	5	rss	66
fixed	5	Sigma	2	PosLength	read	0	time	80347688
fixed	5	Sigma	2	PosLength	read	0	memory	8606032
fixed	5	Sigma	2	PosLength	check	0	time	2140054
fixed	5	Sigma	2	PosLength	check	0	memory	8606032
fixed	5	Sigma	2	PosLength	recheck	1	time	1842517
fixed	5	Sigma	2	PosLength	recheck	1	memory	8606032
fixed	5	Sigma	2	PosLength	recheck	2	time	1884613
fixed	5	Sigma	2	PosLength	recheck	2	memory	8606032
fixed	5	Sigma	2	PosLength	recheck	3	time	1822568
fixed	5	Sigma	2	PosLength	recheck	3	memory	8606032
fixed	5	Sigma	2	PosLength	recheck	4	time	1853594
fixed	5	Sigma	2	PosLength	recheck	4	memory	8606032
fixed	5	Sigma	2	PosLength	recheck	5	time	1821907
fixed	5	Sigma	2	PosLength	recheck	5	memory	9927256
fixed	5	Sigma	2	PosLength	repair	1	time	131759
fixed	5	Sigma	2	PosLength	repair	1	memory	8606032
fixed	5	Sigma	2	PosLength	repair	2	time	61122
fixed	5	Sigma	2	PosLength	repair	2	memory	8606032
fixed	5	Sigma	2	PosLength	repair	3	time	58968
fixed	5	Sigma	2	PosLength	repair	3	memory	8606032
fixed	5	Sigma	2	PosLength	repair	4	time	83793
fixed	5	Sigma	2	PosLength	repair	4	memory	8606032
fixed	5	Sigma	2	PosLength	repair	5	time	66178
fixed	5	Sigma	2	PosLength	repair	5	memory	8606032
fixed	1	Sigma	4	PosLength	check	0	rss	280
fixed	1	Sigma	4	PosLength	recheck	1	rss	270
fixed	1	Sigma	4	PosLength	recheck	2	rss	260
fixed	1	Sigma	4	PosLength	recheck	3	rss	250
fixed	1	Sigma	4	PosLength	recheck	4	rss	240
fixed	1	Sigma	4	PosLength	recheck	5	rss	230
fixed	1	Sigma	4	PosLength	read	0	time	824110901
fixed	1	Sigma	4	PosLength	read	0	memory	32728320
fixed	1	Sigma	4	PosLength	check	0	time	50940568
